741 8
2884 0 3
2888 0 0
2890 0 4
2892 0 4
2893 -2 -1
2897 0 4
2899 0 4
2906 0 1
2910 0 -1
2912 0 0
2913 0 1
2916 0 -1
2917 0 -1
2921 -2 -1
2924 0 -1
2931 0 -1
2947 0 3
2953 0 4
2955 0 4
2968 0 0
2969 0 1
2972 0 -1
2973 0 -1
2979 0 -1
2987 0 -1
3075 0 6
3081 0 6
3083 0 6
3096 0 6
3097 0 6
3100 0 6
3101 0 6
3107 0 6
3115 0 6
3137 0 7
3139 0 7
3144 0 7
3145 0 7
3148 0 7
3149 0 7
3155 0 7
3160 0 7
3162 0 7
3164 0 7
3165 0 7
3169 0 7
3171 0 7
3177 0 7
3179 0 7
3211 0 7
3225 0 7
3227 0 7
3264 0 3
3265 0 3
3268 0 3
3269 0 3
3272 0 4
3274 0 4
3276 0 4
3277 0 4
3281 0 4
3283 0 4
3290 0 1
3294 0 -1
3296 0 0
3297 0 1
3300 0 -1
3301 0 -1
3304 0 0
3305 0 1
3308 0 -1
3309 0 -1
3315 0 -1
3331 0 3
3337 0 4
3339 0 4
3352 0 0
3353 0 1
3356 0 -1
3357 0 -1
3363 0 -1
3371 0 -1
3395 0 3
3401 0 4
3403 0 4
3416 0 0
3417 0 1
3420 0 -1
3421 0 -1
3427 0 -1
3435 0 -1
3483 0 -1
